74DA3895E12C	高雄市中正國小	高雄市鳳山區勝利路2號
74DA3895E132	高雄市鳳山國小	高雄市鳳山區中山路231號
74DA3895E12E	高雄市正義國小	高雄市鳳山區正義里南昌街55號
74DA3895E130	高雄市大東國小	高雄市鳳山區大東一路1號
74DA3895E134	高雄市福誠國小	高雄市鳳山區忠誠路145號
74DA3895E0F2	高雄市誠正國小	高雄市鳳山區黃埔新村國校巷78號
74DA3895E0F0	高雄市觀音國小	高雄市大社區觀音里文明路100號
74DA3895E0EE	高雄市南成國小	高雄市鳳山區南和街101號
74DA3895E0EC	高雄市竹後國小	高雄市仁武區竹後里竹楠路250號
74DA3895E124	高雄市五甲國小	高雄市鳳山區五甲二路424號
74DA3895E126	高雄市登發國小	高雄市仁武區仁和里仁忠路191號
74DA3895E128	高雄市曹公國小	高雄市鳳山區曹公路6號
74DA3895DFEE	高雄市竹圍國小	高雄市岡山區竹圍里大仁北路1號
74DA3895DFEC	高雄市文德國小	高雄市鳳山區文衡路356號
74DA3895DFEA	高雄市大汕國小	高雄市旗津區中洲二路203號
74DA3895DFE8	高雄市瑞興國小	高雄市鳳山區博愛路271號
74DA3895DFDA	高雄市旗津國小	高雄市旗津區中洲三路623號
74DA3895DFDC	高雄市五福國小	高雄市鳳山區五福里福德街145號
74DA3895DFDE	高雄市鳳西國小	高雄市鳳山區光華東路100號
74DA3895DFE0	高雄市維新國小	高雄市永安區維新路光明九巷69-10號
74DA3895DFE4	高雄市中洲國小	高雄市旗津區旗津二路275號
74DA3895DFE6	高雄市寶山國小	高雄市桃源區寶山里2鄰15號
74DA3895DFD8	高雄市樟山國小	高雄市桃源區拉芙蘭里南公路五段440號
74DA3895DFD6	高雄市鎮北國小	高雄市鳳山區鳳北路170號
74DA3895DFD4	高雄市多納國小	高雄市茂林區多納里1-2號
74DA3895E09E	高雄市桃源國小	高雄市桃源區北進巷50號
74DA3895DF9A	高雄市建山國小	高雄市桃源區建山里96號
74DA3895DF98	高雄市興中國小	高雄市桃源區高中里興中巷44號
74DA3895DF96	高雄市民族大愛國小	高雄市杉林區月眉里和氣街15號
74DA3895DF94	高雄市民生國小	高雄市那瑪夏區達卡努瓦里大光巷七鄰159號
74DA3895DF84	高雄市茂林國小	高雄市茂林區茂林里4-3號
74DA3895DF86	高雄市四維國小	高雄市苓雅區青年一路103號
74DA3895E036	高雄市凱旋國小	高雄市苓雅區憲政路235號
74DA3895E034	高雄市五權國小	高雄市苓雅區三多二路100號
74DA3895E032	高雄市成功國小	高雄市苓雅區華新街59號
74DA3895E02E	高雄市福康國小	高雄市苓雅區漢陽街17號
74DA3895E02C	高雄市中正國小	高雄市苓雅區輔仁路100號
74DA3895E02A	高雄市福東國小	高雄市苓雅區福德三路96號
74DA3895E028	高雄市苓洲國小	高雄市苓雅區四維四路61號
74DA3895E026	高雄市龍山國小	高雄市美濃區龍山街62號
74DA3895E022	高雄市廣興國小	高雄市美濃區興隆里廣興街124號
74DA3895E01C	高雄市中壇國小	高雄市美濃區忠孝路一段19號
74DA3895DF88	高雄市龍肚國小	高雄市美濃區龍東街43號
74DA3895DF8C	高雄市龍興國小	高雄市六龜區中興里中庄路193號
74DA3895DF8E	高雄市新發國小	高雄市六龜區新發里和平路130號
74DA3895DF90	高雄市荖濃國小	高雄市六龜區荖濃里南橫路72號
74DA3895DF92	高雄市六龜國小	高雄市六龜區義寶里光復路40號
74DA3895E03E	高雄市吉東國小	高雄市美濃區吉東里吉頂19號
74DA3895E03C	高雄市福安國小	高雄市美濃區福安里中山路二段358號
74DA3895E03A	高雄市前金國小	高雄市前金區大同二路61號
74DA3895DFE2	高雄市建國國小	高雄市前金區自立二路111號
74DA3895E18A	高雄市鹽埕國小	高雄市鹽埕區五福四路183號
74DA3895DF5E	高雄市忠孝國小	高雄市鹽埕區大智路71號
74DA3895DF4C	高雄市光榮國小	高雄市鹽埕區大智路150號
