74DA38F21032	高雄市市立中壇國小	高雄市中壇國小 高雄市美濃區忠孝路一段19號
74DA38F20F22	高雄市市立龍肚國小	高雄市龍肚國小 高雄市美濃區龍東街43號
74DA38F20F2A	高雄市市立龍興國小	高雄市龍興國小 高雄市六龜區中興里中庄路193號
74DA38F20F0A	高雄市市立新發國小	高雄市新發國小 高雄市六龜區新發里和平路130號
74DA38F20F0E	高雄市市立荖濃國小	高雄市荖濃國小 高雄市六龜區荖濃里南橫路72號
74DA38F20F28	高雄市市立六龜國小	高雄市六龜國小 高雄市六龜區義寶里光復路40號
74DA38F20F10	高雄市市立吉東國小	高雄市吉東國小 高雄市美濃區吉東里吉頂19號
74DA38F20F1C	高雄市市立福安國小	高雄市福安國小 高雄市美濃區福安里中山路二段358號
74DA38F20F18	高雄市市立前金國小	高雄市前金國小 高雄市前金區大同二路61號
74DA38F20F1A	高雄市市立建國國小	高雄市建國國小 高雄市前金區自立二路111號
74DA38F20F2C	高雄市市立鹽埕國小	高雄市鹽埕國小 高雄市鹽埕區五福四路183號
74DA38F20BFE	高雄市市立忠孝國小	高雄市忠孝國小 高雄市鹽埕區大智路71號
74DA38F20C16	高雄市市立光榮國小	高雄市光榮國小 高雄市鹽埕區大智路150號
74DA38F20BF0	高雄市市立三民國中	高雄巿立三民國民中學 高雄市三民區十全里十全一路200號
74DA38F20C12	高雄市市立正興國中	高雄市立正興國民中學 高雄市三民區正興里覺民路850號
74DA38F20C0E	高雄市市立民族國中	高雄市立民族國民中學 高雄市三民區保德里覺民路363號
74DA38F20C20	高雄市市立陽明國中	高雄市立陽明國民中學 高雄市三民區本上里義華路166號
74DA38F20C24	高雄市市立鼎金國中	高雄市立鼎金國民中學 高雄市三民區灣成里007鄰鼎山街４４５號
74DA38F20C22	高雄市市立大社國中	高雄市立大社國民中學 高雄市大社區神農里翠屏路100號
74DA38F20C0A	高雄市市立大寮國中	高雄市立大寮國民中學 高雄市大寮區永芳里進學路150號
74DA38F20C1A	高雄市市立中庄國中	高雄市立中庄國民中學 高雄市大寮區中庄里光明路三段1437號
74DA38F20D24	高雄市市立潮寮國中	高雄市立潮寮國民中學 高雄市大寮區潮寮里潮寮路51-9號
74DA38F20BEE	高雄市市立大樹國中	高雄市立大樹國民中學 高雄市大樹區九曲里九曲路500號
74DA38F20BE2	高雄市市立溪埔國中	高雄市立溪埔國民中學 高雄市大樹區溪埔里溪埔路1號
74DA38F20BF2	高雄市市立小港國中	高雄市立小港國民中學 高雄市小港區港南里平和南路185號
74DA38F20BF4	高雄市市立中山國中	高雄市立中山國民中學 高雄市小港區順苓里漢民路352號
74DA38F20BF6	高雄市市立明義國中	高雄市立明義國民中學 高雄市小港區孔宅里明義街2號
74DA38F20C00	高雄市市立明義國中-含中安分校 	高雄市立明義國中含中安分校 高雄市前鎮區明正里明鳳七街5號
74DA38F20C18	高雄市市立鳳林國中	高雄市立鳳林國民中學 高雄市小港區鳳興里龍鳳路559號
74DA38F20C26	高雄市市立大灣國中	高雄市立大灣國民中學 高雄市仁武區大灣里仁雄路99號
74DA38F20C10	高雄市市立內門國中	高雄市立內門國民中學 高雄市內門區觀亭里中正路160巷30號
74DA38F21150	高雄市市立寶來國中	高雄市立寶來國民中學 高雄市六龜區寶來里中正路137號
74DA38F2114C	高雄市市立大義國中	高雄市立大義國民中學 高雄市左營區埤東里翠華路687號
74DA38F2115C	高雄市市立文府國中	高雄市立文府國民中學 高雄市左營區福山里文府路401號
74DA38F21158	高雄市市立左營國中	高雄市立左營國民中學 高雄市左營區新光里曾子路281號
74DA38F21148	高雄市市立立德國中	高雄市立立德國民中學 高雄市左營區明建里實踐路101號
74DA38F21144	高雄市市立福山國中	高雄市立福山國民中學 高雄市左營區福山里重信路215號
74DA38F2119E	高雄市市立龍華國中	高雄市立龍華國民中學 高雄市左營區新上里自由二路2號
74DA38F2115A	高雄市市立永安國中	高雄市立永安國民中學 高雄市永安區保寧里保興一路3號
74DA38F21156	高雄市市立田寮國中	高雄市立田寮國民中學 高雄市田寮區南安里崗安路48號
74DA38F211A2	高雄市市立甲仙國中	高雄市立甲仙國民中學 高雄市甲仙區東安里文化南路6號
74DA38F210E6	高雄市市立杉林國中	高雄市立杉林國民中學 高雄市杉林區月眉里清水路中學巷6號
74DA38F210E4	高雄市市立那瑪夏國中	高雄市立那瑪夏國民中學 高雄市那瑪夏區瑪雅里平和巷171號
74DA38F210F0	高雄市市立岡山國中	高雄市立岡山國民中學 高雄市岡山區後紅里岡燕路238號
74DA38F20E1C	高雄市市立前峰國中	高雄市立前峰國民中學 高雄市岡山區信義里樹人路1號
74DA38F20DF2	高雄市市立嘉興國中	高雄市立嘉興國民中學 高雄市岡山區嘉興里信中街486號
74DA38F20E0A	高雄市市立中芸國中	高雄市立中芸國民中學 高雄市林園區中芸里中芸路3-100號
74DA38F20E00	高雄市市立阿蓮國中	高雄市立阿蓮國民中學 高雄市阿蓮區阿蓮里民生路178號
74DA38F20E0E	高雄市市立前金國中	高雄市立前金國民中學 高雄市前金區後金里六合二路278號
74DA38F20E12	高雄市市立光華國中	高雄市立光華國民中學 高雄市前鎮區竹東里和平二路170號
74DA38F20E2E	高雄市市立前鎮國中	高雄市立前鎮國民中學 高雄市前鎮區明道里新衙路17號
74DA38F20E30	高雄市市立獅甲國中	高雄市立獅甲國民中學 高雄市前鎮區建隆里中山三路43號
74DA38F20E32	高雄市市立瑞豐國中	高雄市立瑞豐國民中學 高雄市前鎮區瑞文里瑞興街99號
74DA38F20E34	高雄市市立興仁國中	高雄市立興仁國民中學 高雄市前鎮區興仁里德昌路345號
74DA38F20E3C	高雄市市立南隆國中	高雄市立南隆國民中學 高雄市美濃區清水里南中街3號
74DA38F20E3A	高雄市市立美濃國中	高雄市立美濃國民中學 高雄市美濃區合和里中正路一段191號
74DA38F20E3E	高雄市市立龍肚國中	高雄市立龍肚國民中學 高雄市美濃區龍山里中華路68號
