08BEAC0A02C4	臺南市市立下營國小	[735]臺南市下營區仁里里13鄰中山路二段72號
08BEAC0A03C8	臺南市市立東興國小	[735]臺南市下營區新興里東興一街112號
08BEAC0A0322	臺南市市立果毅國小	[736]臺南市柳營區果毅里61號
08BEAC0A0810	臺南市市立柳營國小	[736]臺南市柳營區士林里柳營路一段755號
08BEAC0A05CA	臺南市市立太康國小	[736]臺南市柳營區太康里4之1號
08BEAC0A05F4	臺南市市立新山國小	[736]臺南市柳營區旭山里新吉庄28之1號
08BEAC0A01F4	臺南市市立重溪國小	[736]臺南市柳營區重溪里義士路二段2號
08BEAC0A05F2	臺南市市立岸內國小	[737]臺南市鹽水區岸內里新岸內96號
08BEAC0A07EC	臺南市市立鹽水國小	[737]臺南市鹽水區朝琴路137號
08BEAC0A0846	臺南市市立坔頭港國小	[737]臺南市鹽水區坔頭港里202號
08BEAC0A05E6	臺南市市立歡雅國小	[737]臺南市鹽水區歡雅里31號
08BEAC0A0862	臺南市市立仁光國小	[737]臺南市鹽水區三明里舊營117號
08BEAC0A0324	臺南市市立文昌國小	[737]臺南市鹽水區文昌里10-3號
08BEAC0A037E	臺南市市立月津國小	[737]臺南市鹽水區月津路16號
08BEAC0A045E	臺南市市立竹埔國小	[737]臺南市鹽水區竹林里92-1號
08BEAC0A0876	臺南市市立大成國小	[741]臺南市善化區大成路385號
08BEAC0A085E	臺南市市立陽明國小	[741]臺南市善化區胡家里300號
08BEAC0A0508	臺南市市立茄拔國小	[741]臺南市善化區嘉北里280號
08BEAC0A07A6	臺南市市立善化國小	[741]臺南市善化區進學路63號
08BEAC0A03B8	臺南市市立善化區大同國小	[741]臺南市善化區六德里200之1號
08BEAC0A0328	臺南市市立善糖國小	[741]臺南市善化區溪美里245號
08BEAC0A0802	臺南市市立小新國小	[741]臺南市善化區小新里97之3號
08BEAC0A07AA	臺南市市立大內國小	[742]臺南市大內區大內里63號
08BEAC0A0720	臺南市市立二溪國小	[742]臺南市大內區二溪里154號
08BEAC0A0834	臺南市市立山上國小	[743]臺南市山上區南洲里42號
08BEAC0A0826	臺南市市立大社國小	[744]臺南市新市區大社里39號
08BEAC0A0710	臺南市市立新市國小	[744]臺南市新市區中興街1號
08BEAC0A03CE	臺南市市立安定國小	[745]臺南市安定區安定里1號
08BEAC0A071C	臺南市市立安定區南興國小	[745]臺南市安定區六嘉里30號
08BEAC0A06F2	臺南市市立南安國小	[745]臺南市安定區南安里62號
